Alabama Snowfall, March 2017
"GHCN ID","Station Name",County,Elevation,Latitude,Longitude,"Mar 1","Mar 2","Mar 3","Mar 4","Mar 5","Mar 6"
US1ALSH0013,"ALABASTER 2.0 WSW","SHELBY",522,-86.86,33.22,0.0,M,0.0,0.0,0.0,M
US1ALSH0052,"ALABASTER 2.2 SSW","SHELBY",546,-86.83,33.20,0.0,M,0.0,0.0,0.0,M
US1ALSH0022,"ALABASTER 2.4 NE","SHELBY",602,-86.79,33.25,0.0,M,0.0,0.0,0.0,M
USW00053864,"ALABASTER SHELBY COUNTY AP","SHELBY",565,-86.78,33.18,0.0,0.0,0.0,M,M,M
US1ALMS0027,"ALBERTVILLE 1.8 WNW","MARSHALL",1013,-86.24,34.27,M,M,0.0,0.0,0.0,M
US1ALMS0013,"ALBERTVILLE 4.8 WNW","MARSHALL",1027,-86.29,34.28,M,M,0.0,0.0,0.0,M
US1ALMS0022,"ALBERTVILLE 5.5 N","MARSHALL",1063,-86.21,34.34,M,M,0.0,0.0,0.0,M
US1ALCS0003,"ALEXANDER CITY 10.0 SW","COOSA",650,-86.05,32.82,M,M,0.0,0.0,0.0,M
US1ALTP0007,"ALEXANDER CITY 3.1 NNE","TALLAPOOSA",654,-85.95,32.99,0.0,M,0.0,M,M,M
US1ALCS0007,"ALEXANDER CITY 9.6 SSW","COOSA",489,-86.01,32.80,0.0,M,M,M,M,M
USW00013871,"ANNISTON METROPOLITAN AP","CALHOUN",594,-85.86,33.59,0.0,0.0,0.0,M,M,M
US1ALBL0021,"ARAB 7.0 S","BLOUNT",975,-86.48,34.23,M,M,0.0,M,0.0,M
US1ALJF0024,"ARGO 1.5 NW","JEFFERSON",864,-86.53,33.70,M,M,0.0,M,M,M
USC00010390,"ATHENS","LIMESTONE",689,-86.95,34.78,0.0,0.0,0.0,0.0,M,M
US1ALLS0023,"ATHENS 1.5 SE","LIMESTONE",690,-86.95,34.79,M,M,0.0,0.0,0.0,M
US1CHARM205,"ATHENS 2.9 E","LIMESTONE",670,-86.91,34.79,0.0,0.0,M,M,M,M
US1ALLS0010,"ATHENS 4.9 NNW","LIMESTONE",764,-87.00,34.85,M,M,0.0,0.0,0.0,M
US1CHARM175,"ATHENS 5.4 E","LIMESTONE",722,-86.86,34.78,0.0,0.0,0.0,0.0,M,M
US1ALLE0004,"AUBURN 0.6 ENE","LEE",666,-85.47,32.59,M,M,0.0,0.0,M,M
US1ALLE0012,"AUBURN 3.0 NNE","LEE",670,-85.46,32.63,0.0,M,0.0,M,M,M
US1ALBW0059,"BAY MINETTE 10.9 N","BALDWIN",297,-87.74,31.04,M,M,M,0.0,M,M
USC00010655,"BELLE MINA 2 N","LIMESTONE",603,-86.88,34.69,0.0,0.0,M,M,M,M
US1ALJF0037,"BESSEMER 1.0 WNW","JEFFERSON",542,-86.98,33.38,0.0,M,0.0,0.0,0.0,M
USW00013876,"BIRMINGHAM AP","JEFFERSON",615,-86.75,33.57,0.0,0.0,0.0,M,M,M
US1ALBL0006,"BLOUNTSVILLE 1.3 NW","BLOUNT",706,-86.61,34.09,M,M,0.0,0.0,0.0,M
US1ALTG0006,"BON AIR 2.8 SSE","TALLADEGA",492,-86.32,33.22,0.0,M,0.0,0.0,0.0,M
US1ALMD0017,"BROWNSBORO 1.9 NNE","MADISON",721,-86.43,34.77,M,M,0.0,M,M,M
US1CHARM106,"BROWNSBORO 2.3 NW","MADISON",700,-86.47,34.77,0.0,0.0,M,M,M,M
US1ALSH0024,"CALERA 3.1 NNW","SHELBY",617,-86.77,33.14,M,M,0.0,0.0,M,M
US1CHARM011,"CAPSHAW 2.8 NE","MADISON",860,-86.76,34.81,0.0,0.0,0.0,0.0,M,M
US1ALLS0002,"CAPSHAW 3.0 NW","LIMESTONE",735,-86.83,34.80,M,M,0.0,0.0,0.0,M
US1ALCT0012,"CHEROKEE 5.9 SW","COLBERT",670,-88.02,34.69,M,0.0,0.0,0.0,0.0,M
US1ALLD0009,"CLOVERDALE 6.6 WSW","LAUDERDALE",735,-87.88,34.91,M,M,0.0,0.0,0.0,M
US1ALTS0017,"COKER 0.6 S","TUSCALOOSA",191,-87.69,33.24,0.0,M,0.0,0.0,0.0,M
US1ALCM0003,"CULLMAN 4.4 E","CULLMAN",778,-86.76,34.17,M,M,0.0,0.0,M,M
US1ALCM0006,"CULLMAN 7.5 SW","CULLMAN",562,-86.93,34.10,M,M,0.0,0.0,0.0,M
US1ALBW0003,"DAPHNE 1.2 NNW","BALDWIN",158,-87.91,30.64,0.0,M,0.0,M,0.0,M
US1ALBW0060,"DAPHNE 1.5 SSW","BALDWIN",117,-87.91,30.61,0.0,M,0.0,0.0,0.0,M
USW00053852,"DECATUR PRYOR FIELD","LIMESTONE",592,-86.95,34.65,0.0,0.0,0.0,M,M,M
USW00013839,"DOTHAN REGIONAL AP","DALE",374,-85.45,31.32,0.0,0.0,0.0,M,M,M
US1ALMS0019,"DOUGLAS 6.8 NW","MARSHALL",673,-86.39,34.25,M,M,0.0,0.0,0.0,M
US1ALBW0053,"ELBERTA 3.1 SSW","BALDWIN",7,-87.62,30.37,0.0,M,0.0,0.0,0.0,M
US1ALLS0025,"ELKMONT 1.6 SW","LIMESTONE",841,-87.00,34.92,M,M,0.0,M,M,M
US1ALCF0004,"ENTERPRISE 1.5 WNW","COFFEE",345,-85.87,31.34,0.0,M,0.0,0.0,0.0,M
US1ALDL0011,"ENTERPRISE 3.8 ESE","DALE",342,-85.79,31.30,0.0,M,0.0,0.0,0.0,M
US1ALJF0025,"FAIRFIELD 1.8 NE","JEFFERSON",623,-86.89,33.49,M,M,0.0,0.0,M,M
US1ALBW0040,"FAIRHOPE 1.5 WSW","BALDWIN",44,-87.91,30.51,0.0,M,0.0,0.0,0.0,M
US1ALBW0001,"FAIRHOPE 2.3 N","BALDWIN",108,-87.89,30.55,M,M,0.0,0.0,0.0,M
US1ALBW0009,"FOLEY 0.5 ESE","BALDWIN",89,-87.68,30.40,M,0.0,0.0,0.0,0.0,M
US1ALBW0031,"FOLEY 2.0 SSW","BALDWIN",66,-87.70,30.38,0.0,0.0,M,0.0,0.0,M
US1ALBW0008,"FOLEY 7.4 SW","BALDWIN",43,-87.78,30.34,0.0,M,0.0,0.0,0.0,M
US1ALDK0009,"FORT PAYNE 1.4 WSW","DEKALB",900,-85.72,34.44,M,M,0.0,0.0,0.0,M
US1ALCK0003,"GROVE HILL 6.1 SW","CLARKE",246,-87.85,31.64,M,M,0.0,0.0,M,M
US1ALMR0001,"GUIN 1.1 NW","MARION",561,-87.92,33.98,M,M,0.0,0.0,0.0,M
US1ALMS0011,"GUNTERSVILLE 2.0 ENE","MARSHALL",974,-86.24,34.36,M,M,0.0,0.0,M,M
US1ALMS0006,"GUNTERSVILLE 2.2 SW","MARSHALL",791,-86.29,34.33,M,M,0.0,0.0,0.0,M
US1ALMS0029,"GUNTERSVILLE 4.7 W","MARSHALL",607,-86.35,34.36,M,M,M,M,0.0,M
USC00013575,"GUNTERSVILLE NO.2","MARSHALL",595,-86.33,34.33,0.0,M,0.0,0.0,0.0,M
US1ALMD0002,"GURLEY 2.7 S","MADISON",1519,-86.37,34.67,M,M,M,M,0.0,M
US1ALMD0042,"HAMPTON COVE 1.0 NW","MADISON",636,-86.49,34.67,M,M,0.0,0.0,0.0,M
US1CHARM053,"HAMPTON COVE 1.8 SW","MADISON",690,-86.51,34.64,0.0,0.0,0.0,0.0,M,M
US1ALMD0033,"HAMPTON COVE 2.1 WNW","MADISON",1408,-86.51,34.67,M,M,0.0,0.0,0.0,M
US1CHARM029,"HAMPTON COVE 3.9 WSW","MADISON",635,-86.54,34.64,0.0,M,0.0,M,M,M
US1CHARM103,"HAMPTON COVE 4.0 SW","MADISON",600,-86.54,34.62,0.0,0.0,M,M,M,M
US1CHARM045,"HAMPTON COVE 4.4 W","MADISON",660,-86.56,34.66,0.0,0.0,0.0,0.0,M,M
US1CHARM108,"HAMPTON COVE 4.6 W","MADISON",608,-86.56,34.65,0.0,M,0.0,0.0,M,M
US1ALCM0004,"HANCEVILLE 1.6 E","CULLMAN",607,-86.74,34.07,M,M,0.0,0.0,0.0,M
US1CHARM024,"HARTSELLE 1.4 E","MORGAN",660,-86.92,34.43,0.0,0.0,M,M,M,M
US1CHARM176,"HARVEST 4.7 SSE","MADISON",771,-86.70,34.80,0.0,0.0,0.0,0.0,M,M
US1ALMD0032,"HARVEST 4.8 SSW","MADISON",787,-86.77,34.79,M,M,0.0,0.0,M,M
US1ALMD0059,"HARVEST 5.3 SSE","MADISON",725,-86.71,34.79,0.0,0.0,0.0,0.0,0.0,M
US1ALMD0083,"HAZEL GREEN 6.2 NW","MADISON",887,-86.64,34.99,M,M,0.0,M,M,M
US1ALJC0003,"HOLLYTREE 0.6 NNE","JACKSON",650,-86.25,34.81,M,M,0.0,0.0,0.0,M
US1ALJF0054,"HUEYTOWN 1.4 NW","JEFFERSON",530,-87.02,33.45,0.0,M,M,0.0,0.0,M
US1ALMD0025,"HUNTSVILLE 4.4 ENE","MADISON",794,-86.56,34.73,M,M,0.0,0.0,0.0,M
US1ALMD0054,"HUNTSVILLE 5.5 SE","MADISON",725,-86.56,34.65,M,M,0.0,0.0,0.0,M
US1ALMD0004,"HUNTSVILLE 5.9 SE","MADISON",686,-86.55,34.65,M,M,0.0,M,0.0,M
US1ALMD0030,"HUNTSVILLE 7.6 SSE","MADISON",682,-86.56,34.61,M,M,0.0,0.0,0.0,M
US1ALMD0012,"HUNTSVILLE 7.9 SSE","MADISON",591,-86.58,34.60,M,M,0.0,M,0.0,M
USW00003856,"HUNTSVILLE INTL AP JONES FIELD","MADISON",624,-86.79,34.64,0.0,0.0,0.0,M,M,M
US1ALSH0021,"INVERNESS 0.8 W","SHELBY",532,-86.74,33.41,M,M,0.0,0.0,M,M
US1ALTP0005,"JACKSONS GAP 3.4 SW","TALLAPOOSA",502,-85.86,32.85,0.0,M,M,M,M,M
US1ALCN0001,"JACKSONVILLE 1.6 NNE","CALHOUN",764,-85.75,33.83,0.0,M,0.0,0.0,0.0,M
US1ALMG0012,"LACEY'S SPRING 3.4 SSW","MORGAN",1293,-86.63,34.49,M,M,0.0,0.0,M,M
US1ALSH0005,"LAKE PURDY 0.6 NNE","SHELBY",636,-86.68,33.44,0.0,M,0.0,M,M,M
US1ALSH0048,"LAKE PURDY 2.6 ESE","SHELBY",957,-86.64,33.42,M,M,0.0,0.0,0.0,M
US1ALSH0014,"LAKE PURDY 3.6 ENE","SHELBY",1020,-86.62,33.44,M,M,0.0,0.0,0.0,M
US1ALJC0007,"LANGSTON 1.3 NE","JACKSON",748,-86.08,34.55,M,M,0.0,0.0,0.0,M
US1ALLS0015,"LESTER 10.5 S","LIMESTONE",604,-87.17,34.83,M,M,0.0,0.0,M,M
US1ALBW0026,"LOXLEY 0.4 SSW","BALDWIN",197,-87.76,30.62,0.0,M,0.0,0.0,0.0,M
US1CHARM169,"MADISON 0.2 N","MADISON",713,-86.75,34.71,0.0,0.0,M,0.0,M,M
US1ALMD0050,"MADISON 1.7 N","MADISON",774,-86.75,34.73,M,M,0.0,0.0,0.0,M
US1ALMD0026,"MADISON 2.6 NE","MADISON",682,-86.72,34.73,M,M,M,0.0,0.0,M
US1CHARM166,"MADISON 2.9 NNW","MADISON",740,-86.77,34.74,0.0,0.0,M,M,M,M
US1CHARM187,"MADISON 5.3 NNW","MADISON",717,-86.78,34.78,0.0,0.0,M,M,M,M
US1ALMD0071,"MADISON 5.8 N","MADISON",780,-86.74,34.79,M,M,0.0,0.0,0.0,M
US1ALMD0082,"MADISON 8.0 N","MADISON",847,-86.73,34.82,M,M,0.0,0.0,M,M
US1ALMB0060,"MOBILE 10.2 WSW","MOBILE",175,-88.24,30.61,0.0,M,0.0,0.0,0.0,M
US1ALMB0004,"MOBILE 2.6 WNW","MOBILE",100,-88.13,30.69,M,M,0.0,0.0,0.0,M
US1ALMB0035,"MOBILE 7.4 W","MOBILE",148,-88.21,30.66,M,0.0,M,0.0,0.0,M
USW00013894,"MOBILE REGIONAL AP","MOBILE",215,-88.25,30.69,0.0,0.0,0.0,M,M,M
US1ALMY0007,"MONTGOMERY 2.2 NE","MONTGOMERY",310,-86.26,32.38,0.0,0.0,0.0,0.0,0.0,M
USW00013895,"MONTGOMERY AP","MONTGOMERY",202,-86.41,32.30,0.0,0.0,0.0,M,M,M
US1ALSC0006,"MOODY 2.0 ESE","ST. CLAIR",698,-86.46,33.58,0.0,M,M,M,M,M
USC00015635,"MOULTON 2","LAWRENCE",622,-87.30,34.49,0.0,0.0,0.0,0.0,M,M
US1ALLR0007,"MOULTON 3.1 ENE","LAWRENCE",670,-87.23,34.50,M,M,0.0,0.0,M,M
US1ALCT0014,"MUSCLE SHOALS 9.7 NNE","COLBERT",646,-87.47,34.78,M,M,0.0,0.0,0.0,M
USW00013896,"MUSCLE SHOALS REGIONAL AP","COLBERT",540,-87.60,34.74,0.0,0.0,0.0,M,M,M
USC00015751,"MUSCLE SHOALS WATER PLANT","COLBERT",540,-87.64,34.76,0.0,0.0,0.0,0.0,0.0,M
US1CHARM164,"NEW MARKET 3.4 NNW","MADISON",890,-86.45,34.95,0.0,0.0,M,M,M,M
US1ALBL0009,"ONEONTA 0.9 SE","BLOUNT",928,-86.46,33.94,M,M,0.0,0.0,0.0,M
US1ALBL0013,"ONEONTA 7.5 ESE","BLOUNT",1376,-86.35,33.92,0.0,M,0.0,0.0,M,M
US1ALBW0027,"ORANGE BEACH 2.1 NE","BALDWIN",6,-87.56,30.30,0.0,M,0.0,0.0,0.0,M
USC00016196,"OWENS CROSS ROADS 3S","MADISON",590,-86.44,34.55,0.0,0.0,0.0,0.0,0.0,M
US1CHARM004,"OWENS CROSSROADS 4.7 WNW","MADISON",595,-86.54,34.60,0.0,M,M,M,M,M
US1CHARM105,"PAINT ROCK 3.5 WSW","MADISON",660,-86.39,34.64,0.0,0.0,M,M,M,M
US1ALSH0055,"PELHAM 1.3 WNW","SHELBY",502,-86.81,33.31,M,M,0.0,M,M,M
US1ALSH0023,"PELHAM 2.8 SE","SHELBY",962,-86.76,33.27,M,M,0.0,0.0,0.0,M
US1ALSH0058,"PELHAM 3.8 SSE","SHELBY",899,-86.78,33.25,M,M,0.0,0.0,M,M
US1ALRS0001,"PHENIX CITY 2.2 NNW","RUSSELL",407,-85.03,32.49,0.0,M,0.0,0.0,0.0,M
US1ALJC0016,"PISGAH 1.8 W","JACKSON",1280,-85.88,34.69,M,M,0.0,0.0,0.0,M
US1ALES0001,"POLLARD 2.4 N","ESCAMBIA",171,-87.17,31.06,M,M,0.0,0.0,M,M
US1ALDK0012,"RAINSVILLE 1.9 S","DEKALB",1200,-85.84,34.47,M,M,0.0,M,0.0,M
US1ALMY0006,"RAMER 1.5 SE","MONTGOMERY",521,-86.21,32.03,0.0,M,M,M,M,M
US1ALRN0004,"ROANOKE 4.4 ENE","RANDOLPH",846,-85.30,33.18,M,M,0.0,0.0,0.0,M
US1ALLD0035,"ROGERSVILLE 0.5 NE","LAUDERDALE",655,-87.28,34.83,0.0,0.0,0.0,M,0.0,M
USC00017304,"SCOTTSBORO","JACKSON",615,-86.05,34.67,M,M,0.0,M,M,M
US1ALJC0009,"SCOTTSBORO 4.6 NW","JACKSON",636,-86.10,34.70,M,M,0.0,0.0,0.0,M
US1ALRS0003,"SEALE 1.4 W","RUSSELL",397,-85.19,32.29,0.0,0.0,0.0,0.0,0.0,M
US1ALDS0001,"SELMA 1.5 WSW","DALLAS",151,-87.05,32.40,M,0.0,0.0,0.0,0.0,M
US1ALCT0005,"SHEFFIELD 1.3 ENE","COLBERT",548,-87.68,34.77,M,M,0.0,0.0,M,M
US1ALBW0065,"SILVERHILL 0.9 SSE","BALDWIN",131,-87.74,30.53,0.0,M,0.0,0.0,M,M
US1ALBW0045,"SILVERHILL 5.0 SW","BALDWIN",13,-87.80,30.49,0.0,0.0,0.0,0.0,0.0,M
US1ALMG0014,"SOMERVILLE 2.0 SE","MORGAN",627,-86.77,34.46,M,M,0.0,0.0,M,M
US1ALBL0005,"SPRINGVILLE 5.3 WNW","BLOUNT",1070,-86.56,33.80,M,M,0.0,0.0,0.0,M
US1ALDK0008,"SYLVANIA 3.4 ESE","DEKALB",1302,-85.76,34.53,M,M,0.0,0.0,0.0,M
US1ALTG0007,"TALLADEGA 1.6 SSE","TALLADEGA",661,-86.09,33.41,0.0,M,0.0,0.0,M,M
US1ALTG0011,"TALLADEGA 8.8 NW","TALLADEGA",479,-86.18,33.54,0.0,M,0.0,0.0,0.0,M
US1ALMB0001,"TILLMANS CORNER 4.3 WNW","MOBILE",177,-88.26,30.61,0.0,M,0.0,0.0,M,M
US1ALMB0063,"TILLMANS CORNER 8.7 WNW","MOBILE",86,-88.33,30.61,0.0,M,0.0,0.0,M,M
US1CHARM172,"TONEY 4.0 SE","MADISON",900,-86.68,34.86,0.0,0.0,M,M,M,M
US1ALCW0001,"TOXEY 6.0 N","CHOCTAW",367,-88.29,32.00,M,M,0.0,0.0,M,M
US1ALLR0005,"TRINITY 1.7 SW","LAWRENCE",791,-87.11,34.58,M,M,0.0,0.0,0.0,M
USW00003878,"TROY MUNICIPAL AP","PIKE",397,-86.01,31.86,0.0,0.0,0.0,M,M,M
US1ALJF0038,"TRUSSVILLE 6.6 NNE","JEFFERSON",1142,-86.56,33.72,M,M,M,0.0,0.0,M
USW00093806,"TUSCALOOSA MUNICIPAL AP","TUSCALOOSA",150,-87.62,33.21,0.0,0.0,M,M,M,M
US1ALCT0001,"TUSCUMBIA 8.9 SW","COLBERT",775,-87.79,34.62,M,M,0.0,0.0,M,M
US1ALMS0020,"UNION GROVE 7.2 WNW","MARSHALL",940,-86.57,34.42,M,M,0.0,0.0,0.0,M
US1ALMN0003,"URIAH 8.1 W","MONROE",207,-87.64,31.29,M,M,0.0,0.0,M,M
US1ALJF0011,"VESTAVIA HILLS 1.7 NE","JEFFERSON",748,-86.77,33.45,M,M,0.0,0.0,M,M
US1ALJF0039,"VESTAVIA HILLS 1.8 E","JEFFERSON",761,-86.76,33.43,M,M,0.0,M,0.0,M
US1ALTG0002,"VINCENT 7.0 NE","TALLADEGA",456,-86.31,33.44,0.0,M,0.0,0.0,0.0,M
US1ALBL0003,"WARRIOR 4.6 NW","BLOUNT",945,-86.87,33.86,0.0,M,0.0,0.0,0.0,M
US1ALLD0010,"WATERLOO 8.7 ENE","LAUDERDALE",824,-87.92,34.96,M,M,0.0,0.0,0.0,M
USC00018812,"WEST POINT","CULLMAN",930,-86.91,34.28,0.0,0.0,0.0,0.0,M,M
US1ALEL0022,"WETUMPKA 5.4 WNW","ELMORE",193,-86.29,32.57,0.0,M,0.0,0.0,0.0,M
US1ALEL0018,"WETUMPKA 9.9 NNE","ELMORE",563,-86.14,32.68,0.0,M,0.0,0.0,0.0,M
US1ALMB0024,"WILMER 7.9 SE","MOBILE",236,-88.27,30.74,M,M,0.0,0.0,0.0,M
US1ALFY0001,"WINFIELD 6.9 S","FAYETTE",518,-87.81,33.83,M,0.0,0.0,0.0,M,M
US1ALJC0012,"WOODVILLE 8.0 NNE","JACKSON",1519,-86.21,34.73,M,M,M,0.0,0.0,M
